raw_institution,canonical_institutions,approved,manual_split_institutions,current_country_candidates
University of Amsterdam2 Netherlands Cancer Institute,"[""University of Amsterdam2 Netherlands Cancer Institute""]",FALSE,[],NL
University of Applied Sciences and Arts Western Switzerland (HES-SO),"[""University of Applied Sciences and Arts Western Switzerland (HES-SO)""]",FALSE,"[""University of Applied Sciences""]",CH
University of Bonn2,"[""University of Bonn2""]",FALSE,"[""University of Bonn""]",DE
University of Bonn3 & University of Potsdam4,"[""University of Bonn3 & University of Potsdam4""]",FALSE,"[""University of Bonn"",""University of Potsdam""]",DE
University of British Columbia1,"[""University of British Columbia1""]",FALSE,"[""University of British Columbia""]",US
University of California - San Diego,"[""University of California - San Diego""]",FALSE,"[""University of California""]",US
University of California Riverside,"[""University of California Riverside""]",FALSE,"[""University of California""]",US
University of California San Diego (UCSD),"[""University of California San Diego (UCSD)""]",FALSE,"[""University of California""]",US
University of California Santa Barbara,"[""University of California Santa Barbara""]",FALSE,"[""University of California""]",US
University of California at Berkeley,"[""University of California at Berkeley""]",FALSE,"[""University of California""]",US
University of California at Merced,"[""University of California at Merced""]",FALSE,"[""University of California""]",US
University of California at Santa Barbara,"[""University of California at Santa Barbara""]",FALSE,"[""University of California""]",US
University of Illinois ,"[""University of Illinois System""]",FALSE,"[""University of Illinois""]",US
University of Illinois Urbana-Champaign,"[""University of Illinois Urbana-Champaign3""]",FALSE,"[""University of Illinois""]",CN
University of Illinois,"[""University of Illinois at Urbana Champaign""]",FALSE,"[""University of Illinois""]",US
University of Illinois,"[""University of Illinois at Urbana Champaign.""]",FALSE,"[""University of Illinois""]",US
University of Illinois,"[""University of Illinois at Urbana–Champaign""]",FALSE,"[""University of Illinois""]",US
University of Kansas Medical Center,"[""University of Kansas Medical Center""]",FALSE,"[""University of Kansas""]",US
University of Milano-Bicocca,"[""University of Milano-Bicocca""]",FALSE,"[""University of Milano""]",IT
University of Minnesota – Twin Cities,"[""University of Minnesota Twin Cities""]",FALSE,"[""University of Minnesota""]",US
University of Minnesota – Twin Cities,"[""University of Minnesota – Twin Cities""]",FALSE,"[""University of Minnesota""]",US
University of Missouri,"[""University of Missouri - Columbia""]",FALSE,"[""University of Missouri""]",US
University of Missouri,"[""University of Missouri-Kansas City""]",FALSE,"[""University of Missouri""]",US
University of Missouri,"[""University of Missouri–St. Louis""]",FALSE,"[""University of Missouri""]",US
University of New South Wales3,"[""University of New South Wales3""]",FALSE,"[""University of New South Wales""]",AU
University of T ¨ubingen,"[""University of T ¨ubingen""]",FALSE,"[""University of Tuebingen""]",DE
University of Texas Rio Grande Valley,"[""University of Texas Rio Grande Valley""]",FALSE,"[""University of  Texas""]",US
University of Texas Southwestern Medical Center,"[""University of Texas Southwestern Medical Center""]",FALSE,"[""University of  Texas""]",US
University of Texas at ”ustin,"[""University of Texas at ”ustin""]",FALSE,"[""University of  Texas""]",US
University of Toronto (UofT),"[""University of Toronto (UofT)""]",FALSE,"[""University of Toronto""]",CA
University of Toronto FAR AI,"[""University of Toronto FAR AI""]",FALSE,"[""University of Toronto""]",US
University of Trento3,"[""University of Trento3""]",FALSE,"[""University of Trento]",IT
University of T¨ ubingen,"[""University of T¨ ubingen""]",FALSE,"[""University of Tuebingen""]",DE
University of Washington2,"[""University of Washington2""]",FALSE,[University of Washington],US
University of Waterloo (Canada),"[""University of Waterloo (Canada)""]",FALSE,"[""University of Waterloo""]",CA
University of Wisconsin ,"[""University of Wisconsin University of Illinois Geriatric Research Education & Clinical Center""]",FALSE,"[""University of Wisconsin""]",US
University of Wisconsin,"[""University of Wisconsin University of Wisconsin University of Wisconsin""]",FALSE,"[""University of Wisconsin""]",US
University of Wisconsin ,"[""University of Wisconsin at Madison""]",FALSE,"[""University of Wisconsin""]",US
University of Wisconsin–Milwaukee,"[""University of Wisconsin–Milwaukee""]",FALSE,"[""University of Wisconsin""]",US
University of Zurich and University of St. Gallen,"[""University of Zurich and University of St. Gallen""]",FALSE,"[""University of Zurich"",""University of St. Gallen""]",CH
Valeo (France),"[""Valeo (France)""]",FALSE,"[""Valeo""]",FR
Yahoo! Labs,"[""Y ahoo Labs""]",FALSE,[Yahoo!],US
Yahoo! Research,"[""Y ahoo! Research""]",FALSE,[Yahoo!],US
Yonsei University,"[""Y onsei University""]",FALSE,[Yahoo!],KR
Yahoo! (Spain),"[""Yahoo (Spain)""]",FALSE,[Yahoo!],US
Yahoo! Research,"[""Yahoo Research""]",FALSE,[Yahoo!],US
Yahoo! Labs,"[""Yahoo! Labs""]",FALSE,[Yahoo!],US
Zurich,"[""Zurich""]",FALSE,[],CH
aAllen Institute for AI wUniversity of Washington bUniversity of California,"[""aAllen Institute for AI wUniversity of Washington bUniversity of California""]",FALSE,"[""Allen Institute for AI"",""University of Washington"",""University of California""]",US
aStanford University bOxford University cHarvard University da16z crypto,"[""aStanford University bOxford University cHarvard University""]",FALSE,"[""Stanford University"",""Oxford University"",""Harvard University""]",US
aUniversity of Illinois Chicago bNokia Bell Labs,"[""aUniversity of Illinois Chicago bNokia Bell Labs""]",FALSE,"[""University of Illinois Chicago"",""Nokia Bell Labs""]",US
aUniversity of Southampton bDataCanvas cPony.ai dUniversity College London,"[""aUniversity of Southampton bDataCanvas cPony.ai dUniversity College London""]",FALSE,"[""University of Southampton"",""DataCanvas"",""Pony.ai"",""University College London""]",GB
sStanford University mMIT,"[""sStanford University mMIT""]",FALSE,"[""Stanford University"",""MIT""]",US
sity of Technology,"[""sity of Technology""]",FALSE,[],[]
the Niels Bohr Institute and Nordita,"[""the Niels Bohr Institute and Nordita""]",FALSE,"[""Niels Bohr Institute"",""Nordita""]",DK
University of California,"[""University of California""]",TRUE,[],US
Berkeley,"[""Berkeley""]",TRUE,[],US
Massachusetts Institute of Technology,"[""Massachusetts Institute of Technology""]",TRUE,[],US
Stanford University,"[""Stanford University""]",TRUE,[],US
Carnegie Mellon University,"[""Carnegie Mellon University""]",TRUE,[],US
Tsinghua University,"[""Tsinghua University""]",TRUE,[],CN
Google,"[""Google""]",TRUE,[],US
University of Hong Kong,"[""University of Hong Kong""]",TRUE,[],HK
Peking University,"[""Peking University""]",TRUE,[],CN
University of Oxford,"[""University of Oxford""]",TRUE,[],GB
Chinese Academy of Sciences,"[""Chinese Academy of Sciences""]",TRUE,[],CN
Princeton University,"[""Princeton University""]",TRUE,[],US
Meta,"[""Meta""]",TRUE,[],US
Microsoft,"[""Microsoft""]",TRUE,[],US
Chinese University of Hong Kong,"[""Chinese University of Hong Kong""]",TRUE,[],HK
Columbia University,"[""Columbia University""]",TRUE,[],US
University College London,"[""University College London""]",TRUE,[],GB
National University of Singapore,"[""National University of Singapore""]",TRUE,[],SG
ETH Zurich,"[""ETH Zurich""]",TRUE,[],CH
University of Washington,"[""University of Washington""]",TRUE,[],US
DeepMind,"[""DeepMind""]",TRUE,[],GB
University of Toronto,"[""University of Toronto""]",TRUE,[],CA
University of Cambridge,"[""University of Cambridge""]",TRUE,[],GB
Zhejiang University,"[""Zhejiang University""]",TRUE,[],CN 
Shanghai Jiao Tong University,"[""Shanghai Jiao Tong University""]",TRUE,[],CN
Cornell University,"[""Cornell University""]",TRUE,[],US
Nanjing University,"[""Nanjing University""]",TRUE,[],CN
New York University,"[""New York University""]",TRUE,[],US
Nanyang Technological University,"[""Nanyang Technological University""]",TRUE,[],CN
Georgia Institute of Technology,"[""Georgia Institute of Technology""]",TRUE,[],US
University of Pennsylvania,"[""University of Pennsylvania""]",TRUE,[],US
Harvard University,"[""Harvard University""]",TRUE,[],US
The University of Texas at Austin,"[""The University of Texas at Austin""]",TRUE,[],US
Hong Kong University of Science and Technology,"[""Hong Kong University of Science and Technology""]",TRUE,[],HK
University of Illinois Urbana-Champaign,"[""University of Illinois Urbana-Champaign""]",TRUE,[],US
University of Science and Technology of China,"[""University of Science and Technology of China""]",TRUE,[],CN
University of California San Diego,"[""University of California San Diego""]",TRUE,[],US
York University,"[""York University""]",TRUE,[],CA
Fudan University,"[""Fudan University""]",TRUE,[],CN
University of Michigan,"[""University of Michigan""]",TRUE,[],US
The Chinese University of Hong Kong,"[""The Chinese University of Hong Kong""]",TRUE,[],HK
University of Maryland,"[""University of Maryland""]",TRUE,[],US
University of Texas at Austin,"[""University of Texas at Austin""]",TRUE,[],US
Johns Hopkins University,"[""Johns Hopkins University""]",TRUE,[],US
Seoul National University,"[""Seoul National University""]",TRUE,[],KR
Duke University,"[""Duke University""]",TRUE,[],US
University of Chicago,"[""University of Chicago""]",TRUE,[],US
Amazon,"[""Amazon""]",TRUE,[],US
California Institute of Technology,"[""California Institute of Technology""]",TRUE,[],US
University of Southern California,"[""University of Southern California""]",TRUE,[],US
Alibaba Group,"[""Alibaba Group""]",TRUE,[],CN
Technion – Israel Institute of Technology,"[""Technion – Israel Institute of Technology""]",TRUE,[],IL
NVIDIA,"[""NVIDIA""]",TRUE,[],US
McGill University,"[""McGill University""]",TRUE,[],CA
Yale University,"[""Yale University""]",TRUE,[],US
Tencent,"[""Tencent""]",TRUE,[],CN
University of Edinburgh,"[""University of Edinburgh""]",TRUE,[],GB
University of Alberta,"[""University of Alberta""]",TRUE,[],CA
Technical University of Munich,"[""Technical University of Munich""]",TRUE,[],DE
The University of Tokyo,"[""The University of Tokyo""]",TRUE,[],JP
Imperial College London,"[""Imperial College London""]",TRUE,[],GB
École Polytechnique Fédérale de Lausanne,"[""École Polytechnique Fédérale de Lausanne""]",TRUE,[],CH
Beihang University,"[""Beihang University""]",TRUE,[],CN
Sun Yat-sen University,"[""Sun Yat-sen University""]",TRUE,[],CN
Hebrew University of Jerusalem,"[""Hebrew University of Jerusalem""]",TRUE,[],IL
Purdue University,"[""Purdue University""]",TRUE,[],US
Harbin Institute of Technology,"[""Harbin Institute of Technology""]",TRUE,[],CN
University of Sydney,"[""University of Sydney""]",TRUE,[],AU
Northeastern University,"[""Northeastern University""]",TRUE,[],US
University of Tokyo,"[""University of Tokyo""]",TRUE,[],JP
RIKEN,"[""RIKEN""]",TRUE,[],JP
Tel Aviv University,"[""Tel Aviv University""]",TRUE,[],IL
Renmin University of China,"[""Renmin University of China""]",TRUE,[],CN
Vector Institute,"[""Vector Institute""]",TRUE,[],CA
University of British Columbia,"[""University of British Columbia""]",TRUE,[],CA
Northwestern University,"[""Northwestern University""]",TRUE,[],US
Texas A&M University,"[""Texas A&M University""]",TRUE,[],US
Tianjin University,"[""Tianjin University""]",TRUE,[],CN
Max Planck Society,"[""Max Planck Society""]",TRUE,[],DE
The University of Sydney,"[""The University of Sydney""]",TRUE,[],AU
University of Wisconsin–Madison,"[""University of Wisconsin–Madison""]",TRUE,[],US
University of Amsterdam,"[""University of Amsterdam""]",TRUE,[],NL
Wuhan University,"[""Wuhan University""]",TRUE,[],CN
Australian National University,"[""Australian National University""]",TRUE,[],AU
City University of Hong Kong,"[""City University of Hong Kong""]",TRUE,[],HK
Hong Kong Polytechnic University,"[""Hong Kong Polytechnic University""]",TRUE,[],HK
Brown University,"[""Brown University""]",TRUE,[],US
Boston University,"[""Boston University""]",TRUE,[],US
Rice University,"[""Rice University""]",TRUE,[],US
Huazhong University of Science and Technology,"[""Huazhong University of Science and Technology""]",TRUE,[],CN
Pennsylvania State University,"[""Pennsylvania State University""]",TRUE,[],US
University of Waterloo,"[""University of Waterloo""]",TRUE,[],CA
University of Tübingen,"[""University of Tübingen""]",TRUE,[],DE
Xi'an Jiaotong University,"[""Xi'an Jiaotong University""]",TRUE,[],CN
The Ohio State University,"[""The Ohio State University""]",TRUE,[],US
University of Wisconsin-Madison,"[""University of Wisconsin-Madison""]",TRUE,[],US
Zayed University,"[""Zayed University""]",TRUE,[],AE
Beijing Institute of Technology,"[""Beijing Institute of Technology""]",TRUE,[],CN
Max Planck Institute for Intelligent Systems,"[""Max Planck Institute for Intelligent Systems""]",TRUE,[],DE
Weizmann Institute of Science,"[""Weizmann Institute of Science""]",TRUE,[],IL
Rutgers University,"[""Rutgers University""]",TRUE,[],US
Beijing University of Posts and Telecommunications,"[""Beijing University of Posts and Telecommunications""]",TRUE,[],CN
Korea Advanced Institute of Science and Technology,"[""Korea Advanced Institute of Science and Technology""]",TRUE,[],KR
Seattle University,"[""Seattle University""]",TRUE,[],US
Apple,"[""Apple""]",TRUE,[],US
University of Minnesota,"[""University of Minnesota""]",TRUE,[],US
University of Virginia,"[""University of Virginia""]",TRUE,[],US
Southeast University,"[""Southeast University""]",TRUE,[],CN
Turing Institute,"[""Turing Institute""]",TRUE,[],GB
École Polytechnique,"[""École Polytechnique""]",TRUE,[],FR
University of Electronic Science and Technology of China,"[""University of Electronic Science and Technology of China""]",TRUE,[],CN
Xiamen University,"[""Xiamen University""]",TRUE,[],CN
Xidian University,"[""Xidian University""]",TRUE,[],CN
Tongji University,"[""Tongji University""]",TRUE,[],CN
University of Technology Sydney,"[""University of Technology Sydney""]",TRUE,[],AU
Aalto University,"[""Aalto University""]",TRUE,[],FI
Texas A&M,"[""Texas A&M""]",TRUE,[],US
Courant Institute of Mathematical Sciences,"[""Courant Institute of Mathematical Sciences""]",TRUE,[],US
University of Colorado Boulder,"[""University of Colorado Boulder""]",TRUE,[],US
University of Melbourne,"[""University of Melbourne""]",TRUE,[],AU
University of Copenhagen,"[""University of Copenhagen""]",TRUE,[],DK
Shanghai AI Laboratory,"[""Shanghai AI Laboratory""]",TRUE,[],CN
Singapore Management University,"[""Singapore Management University""]",TRUE,[],SG
Arizona State University,"[""Arizona State University""]",TRUE,[],US
The State University of New Jersey,"[""The State University of New Jersey""]",TRUE,[],US
UMass Amherst,"[""UMass Amherst""]",TRUE,[],US
University of Warwick,"[""University of Warwick""]",TRUE,[],GB
Technische Universität Berlin,"[""Technische Universität Berlin""]",TRUE,[],DE
University of Pittsburgh,"[""University of Pittsburgh""]",TRUE,[],GB
Alan Turing Institute,"[""Alan Turing Institute""]",TRUE,[],GB
Huawei Noah’s Ark Lab,"[""Huawei Noah’s Ark Lab""]",TRUE,[],CN
Philadelphia University,"[""Philadelphia University""]",TRUE,[],US
Virginia Tech,"[""Virginia Tech""]",TRUE,[],US
Indian Institute of Science Bangalore,"[""Indian Institute of Science Bangalore""]",TRUE,[],IN
Korea University,"[""Korea University""]",TRUE,[],KR
Michigan State University,"[""Michigan State University""]",TRUE,[],US
Nanjing University of Science and Technology,"[""Nanjing University of Science and Technology""]",TRUE,[],CN
Nankai University,"[""Nankai University""]",TRUE,[],CN
Stony Brook University,"[""Stony Brook University""]",TRUE,[],US
University of Adelaide,"[""University of Adelaide""]",TRUE,[],AU
Allen Institute,"[""Allen Institute""]",TRUE,[],US
East China Normal University,"[""East China Normal University""]",TRUE,[],CN
Westlake University,"[""Westlake University""]",TRUE,[],CN
Rensselaer Polytechnic Institute,"[""Rensselaer Polytechnic Institute""]",TRUE,[],US
National University of Defense Technology,"[""National University of Defense Technology""]",TRUE,[],CN
Hong Kong Baptist University,"[""Hong Kong Baptist University""]",TRUE,[],HK
Monash University,"[""Monash University""]",TRUE,[],AU
Adobe,"[""Adobe""]",TRUE,[],US
Max Planck Institute for Biological Cybernetics,"[""Max Planck Institute for Biological Cybernetics""]",TRUE,[],DE
Beijing Jiaotong University,"[""Beijing Jiaotong University""]",TRUE,[],CN
Peng Cheng Laboratory,"[""Peng Cheng Laboratory""]",TRUE,[],CN
South China University of Technology,"[""South China University of Technology""]",TRUE,[],CN
Xi’an Jiaotong University,"[""Xi’an Jiaotong University""]",TRUE,[],CN
Sorbonne Université,"[""Sorbonne Université""]",TRUE,[],FR
University of Illinois Chicago,"[""University of Illinois Chicago""]",TRUE,[],US
Yonsei University,"[""Yonsei University""]",TRUE,[],KR
Salk Institute for Biological Studies,"[""Salk Institute for Biological Studies""]",TRUE,[],US
University of Rochester,"[""University of Rochester""]",TRUE,[],US
University at Buffalo,"[""University at Buffalo""]",TRUE,[],US
Shandong University,"[""Shandong University""]",TRUE,[],CN
Technical University of Denmark,"[""Technical University of Denmark""]",TRUE,[],DK
KU Leuven,"[""KU Leuven""]",TRUE,[],BE
Kyoto University,"[""Kyoto University""]",TRUE,[],JP
Shenzhen University,"[""Shenzhen University""]",TRUE,[],CN
University of Manchester,"[""University of Manchester""]",TRUE,[],GB
Ann Arbor Center for Independent Living,"[""Ann Arbor Center for Independent Living""]",TRUE,[],GB
Flatiron Institute,"[""Flatiron Institute""]",TRUE,[],US
MIT-IBM Watson AI lab,"[""MIT-IBM Watson AI lab""]",TRUE,[],US
University of Florida,"[""University of Florida""]",TRUE,[],US
King's College London,"[""King's College London""]",TRUE,[],GB
POSTECH,"[""POSTECH""]",TRUE,[],KR
Oregon State University,"[""Oregon State University""]",TRUE,[],US
Simon Fraser University,"[""Simon Fraser University""]",TRUE,[],CA
Tübingen AI Center,"[""Tübingen AI Center""]",TRUE,[],DE
Institute of Science and Technology Austria,"[""Institute of Science and Technology Austria""]",TRUE,[],AT
Howard Hughes Medical Institute,"[""Howard Hughes Medical Institute""]",TRUE,[],US
University of Central Florida,"[""University of Central Florida""]",TRUE,[],US
Dalian University of Technology,"[""Dalian University of Technology""]",TRUE,[],CN
ShanghaiTech University,"[""ShanghaiTech University""]",TRUE,[],CN
Ant Group,"[""Ant Group""]",TRUE,[],CN
Ben-Gurion University of the Negev,"[""Ben-Gurion University of the Negev""]",TRUE,[],IL
KTH Royal Institute of Technology,"[""KTH Royal Institute of Technology""]",TRUE,[],SE
University of Arizona,"[""University of Arizona""]",TRUE,[],US
Rochester Institute of Technology,"[""Rochester Institute of Technology""]",TRUE,[],US
Eindhoven University of Technology,"[""Eindhoven University of Technology""]",TRUE,[],NL
University of Iowa,"[""University of Iowa""]",TRUE,[],US
Heidelberg University,"[""Heidelberg University""]",TRUE,[],DE
University of Applied Sciences and Arts of Southern Switzerland,"[""University of Applied Sciences and Arts of Southern Switzerland""]",TRUE,[],CH
University of Bristol,"[""University of Bristol""]",TRUE,[],GB
University of Freiburg,"[""University of Freiburg""]",TRUE,[],DE
Bar-Ilan University,"[""Bar-Ilan University""]",TRUE,[],IL
Munich Center for Machine Learning,"[""Munich Center for Machine Learning""]",TRUE,[],DE
Oxford Centre for Computational Neuroscience,"[""Oxford Centre for Computational Neuroscience""]",TRUE,[],GB
Tokyo Institute of Technology,"[""Tokyo Institute of Technology""]",TRUE,[],JP
University of Helsinki,"[""University of Helsinki""]",TRUE,[],FI
University of Utah,"[""University of Utah""]",TRUE,[],US
Delft University of Technology,"[""Delft University of Technology""]",TRUE,[],FI
Iowa State University,"[""Iowa State University""]",TRUE,[],US
Northwestern Polytechnical University,"[""Northwestern Polytechnical University""]",TRUE,[],CN
Toyota Technological Institute,"[""Toyota Technological Institute""]",TRUE,[],JP
Aston University,"[""Aston University""]",TRUE,[],GB
National Taiwan University,"[""National Taiwan University""]",TRUE,[],TW
Shandong University of Political Science and Law,"[""Shandong University of Political Science and Law""]",TRUE,[],CN
Shanghai University of Finance and Economics,"[""Shanghai University of Finance and Economics""]",TRUE,[],CN
Sichuan University,"[""Sichuan University""]",TRUE,[],CN
Dartmouth College,"[""Dartmouth College""]",TRUE,[],US
North Carolina State University,"[""North Carolina State University""]",TRUE,[],US
State University of New York,"[""State University of New York""]",TRUE,[],US
Beijing Normal University,"[""Beijing Normal University""]",TRUE,[],CN
Chongqing University,"[""Chongqing University""]",TRUE,[],CN
Karlsruhe Institute of Technology,"[""Karlsruhe Institute of Technology""]",TRUE,[],DE
The Alan Turing Institute,"[""The Alan Turing Institute""]",TRUE,[],GB
Indiana University Bloomington,"[""Indiana University Bloomington""]",TRUE,[],US
Saarland University,"[""Saarland University""]",TRUE,[],DE
Sungkyunkwan University,"[""Sungkyunkwan University""]",TRUE,[],KR
Graz University of Technology,"[""Graz University of Technology""]",TRUE,[],AT
Max Planck Institute for Informatics,"[""Max Planck Institute for Informatics""]",TRUE,[],DE
The University of Texas at Dallas,"[""The University of Texas at Dallas""]",TRUE,[],US
University of Notre Dame,"[""University of Notre Dame""]",TRUE,[],US
Pohang University of Science and Technology,"[""Pohang University of Science and Technology""]",TRUE,[],KR
Emory University,"[""Emory University""]",TRUE,[],US
University of Bonn,"[""University of Bonn""]",TRUE,[],DE
University of Potsdam,"[""University of Potsdam""]",TRUE,[],DE
University of Zurich,"[""University of Zurich""]",TRUE,[],CH
Jilin University,"[""Jilin University""]",TRUE,[],CN
McGovern Institute for Brain Research,"[""McGovern Institute for Brain Research""]",TRUE,[],US
Qualcomm AI Research,"[""Qualcomm AI Research""]",TRUE,[],US
Shanghai University,"[""Shanghai University""]",TRUE,[],CN
University of Trento,"[""University of Trento""]",TRUE,[],IT
Aarhus University,"[""Aarhus University""]",TRUE,[],DK
Nanjing University of Aeronautics and Astronautics,"[""Nanjing University of Aeronautics and Astronautics""]",TRUE,[],CN
Amsterdam University of the Arts,"[""Amsterdam University of the Arts""]",TRUE,[],NL
Nature Inspires Creativity Engineers Lab,"[""Nature Inspires Creativity Engineers Lab""]",TRUE,[],FR
Central South University,"[""Central South University""]",TRUE,[],CN
RWTH Aachen University,"[""RWTH Aachen University""]",TRUE,[],DE
Sapienza University of Rome,"[""Sapienza University of Rome""]",TRUE,[],IT
The Institute of Statistical Mathematics,"[""The Institute of Statistical Mathematics""]",TRUE,[],JP
University of Basel,"[""University of Basel""]",TRUE,[],CH
University of Surrey,"[""University of Surrey""]",TRUE,[],GB
University of Texas at Dallas,"[""University of Texas at Dallas""]",TRUE,[],US
Queen Mary University of London,"[""Queen Mary University of London""]",TRUE,[],GB
University of Sheffield,"[""University of Sheffield""]",TRUE,[],GB
University of Southampton,"[""University of Southampton""]",TRUE,[],GB
National Yang Ming Chiao Tung University,"[""National Yang Ming Chiao Tung University""]",TRUE,[],TW
Radboud University Nijmegen,"[""Radboud University Nijmegen""]",TRUE,[],NL
University of Birmingham,"[""University of Birmingham""]",TRUE,[],GB
University of Glasgow,"[""University of Glasgow""]",TRUE,[],GB
University of Liverpool,"[""University of Liverpool""]",TRUE,[],GB
George Mason University,"[""George Mason University""]",TRUE,[],US
Italian Institute of Technology,"[""Italian Institute of Technology""]",TRUE,[],IT
Lancaster University,"[""Lancaster University""]",TRUE,[],GB
Polytechnique Montréal,"[""Polytechnique Montréal""]",TRUE,[],CA
Singapore University of Technology and Design,"[""Singapore University of Technology and Design""]",TRUE,[],SG
University of Montreal,"[""University of Montreal""]",TRUE,[],CA
University of Stuttgart,"[""University of Stuttgart""]",TRUE,[],DE
Wayne State University,"[""Wayne State University""]",TRUE,[],US
Chalmers University of Technology,"[""Chalmers University of Technology""]",TRUE,[],CH
Idiap Research Institute,"[""Idiap Research Institute""]",TRUE,[],CH
Lehigh University,"[""Lehigh University""]",TRUE,[],US
National Research University Higher School of Economics,"[""National Research University Higher School of Economics""]",TRUE,[],RU
TU Wien,"[""TU Wien""]",TRUE,[],AT
University of Connecticut,"[""University of Connecticut""]",TRUE,[],GB
Vrije Universiteit Amsterdam,"[""Vrije Universiteit Amsterdam""]",TRUE,[],NL
Institute for Infocomm Research,"[""Institute for Infocomm Research""]",TRUE,[],SG
International Computer Science Institute,"[""International Computer Science Institute""]",TRUE,[],US
Jet Propulsion Laboratory,"[""Jet Propulsion Laboratory""]",TRUE,[],US
Lawrence Livermore National Laboratory,"[""Lawrence Livermore National Laboratory""]",TRUE,[],US
Shanghai AI Lab,"[""Shanghai AI Lab""]",TRUE,[],CN
Universitat Pompeu Fabra,"[""Universitat Pompeu Fabra""]",TRUE,[],ES
Canadian Institute for Advanced Research,"[""Canadian Institute for Advanced Research""]",TRUE,[],CA
Freie Universität Berlin,"[""Freie Universität Berlin""]",TRUE,[],DE
Indiana University,"[""Indiana University""]",TRUE,[],US
McMaster University,"[""McMaster University""]",TRUE,[],CA
New Jersey Institute of Technology,"[""New Jersey Institute of Technology""]",TRUE,[],US
Pengcheng Laboratory,"[""Pengcheng Laboratory""]",TRUE,[],CN
Siemens (Germany),"[""Siemens""]",TRUE,[],DE
University at Albany,"[""University at Albany""]",TRUE,[],US
Academia Sinica,"[""Academia Sinica""]",TRUE,[],TW
Baylor College of Medicine,"[""Baylor College of Medicine""]",TRUE,[],US
Brandeis University,"[""Brandeis University""]",TRUE,[],US
Czech Technical University in Prague,"[""Czech Technical University in Prague""]",TRUE,[],CZ
Deakin University,"[""Deakin University""]",TRUE,[],AU
Helmholtz Munich,"[""Helmholtz Munich""]",TRUE,[],DE
Indian Institute of Technology Delhi,"[""Indian Institute of Technology Delhi""]",TRUE,[],IN
Los Alamos National Laboratory,"[""Los Alamos National Laboratory""]",TRUE,[],US
National Institute of Informatics,"[""National Institute of Informatics""]",TRUE,[],JP
National Tsing Hua University,"[""National Tsing Hua University""]",TRUE,[],TW
Royal Holloway University of London,"[""Royal Holloway University of London""]",TRUE,[],GB
University of Ottawa,"[""University of Ottawa""]",TRUE,[],CA
University of York,"[""University of York""]",TRUE,[],GB
California University of Pennsylvania,"[""California University of Pennsylvania""]",TRUE,[],US
Ghent University,"[""Ghent University""]",TRUE,[],BE
Lawrence Berkeley National Laboratory,"[""Lawrence Berkeley National Laboratory""]",TRUE,[],US
Skolkovo Institute of Science and Technology,"[""Skolkovo Institute of Science and Technology""]",TRUE,[],RU
The University of Osaka,"[""The University of Osaka""]",TRUE,[],JP
Anhui University,"[""Anhui University""]",TRUE,[],CN
Chung-Ang University,"[""Chung-Ang University""]",TRUE,[],KR
ELLIS Institute Tübingen,"[""ELLIS Institute Tübingen""]",TRUE,[],DE
Indian Institute of Technology Bombay,"[""Indian Institute of Technology Bombay""]",TRUE,[],IN
Leiden University,"[""Leiden University""]",TRUE,[],NL
MIT Lincoln Laboratory,"[""MIT Lincoln Laboratory""]",TRUE,[],US
Sharif University of Technology,"[""Sharif University of Technology""]",TRUE,[],IR
Tufts University,"[""Tufts University""]",TRUE,[],US
University of Minnesota System,"[""University of Minnesota System""]",TRUE,[],US
Centrum Wiskunde & Informatica,"[""Centrum Wiskunde & Informatica""]",TRUE,[],NL
Florida State University,"[""Florida State University""]",TRUE,[],US
Hunan University,"[""Hunan University""]",TRUE,[],CN
Indian Institute of Technology Kanpur,"[""Indian Institute of Technology Kanpur""]",TRUE,[],IN
Institute of High Performance Computing,"[""Institute of High Performance Computing""]",TRUE,[],SG
Macquarie University,"[""Macquarie University""]",TRUE,[],AU
The University of Texas at Arlington,"[""The University of Texas at Arlington""]",TRUE,[],US
University of Geneva,"[""University of Geneva""]",TRUE,[],CH
University of Genoa,"[""University of Genoa""]",TRUE,[],IT
University of Luxembourg,"[""University of Luxembourg""]",TRUE,[],LU
University of Macau,"[""University of Macau""]",TRUE,[],CN
University of Queensland,"[""University of Queensland""]",TRUE,[],AU
University of Texas,"[""University of Texas""]",TRUE,[],US
HEC Montréal,"[""HEC Montréal""]",TRUE,[],CA
Linköping University,"[""Linköping University""]",TRUE,[],SE
Samsung (South Korea),"[""Samsung (South Korea)""]",FALSE,"[""Samsung""]",KR
University of Padua,"[""University of Padua""]",TRUE,[],IT
University of Warsaw,"[""University of Warsaw""]",TRUE,[],PL
Vanderbilt University,"[""Vanderbilt University""]",TRUE,[],US
Warsaw University of Technology,"[""Warsaw University of Technology""]",TRUE,[],US
Washington State University,"[""Washington State University""]",TRUE,[],US
Case Western Reserve University,"[""Case Western Reserve University""]",TRUE,[],US
Hanyang University,"[""Hanyang University""]",TRUE,[],KR
Keio University,"[""Keio University""]",TRUE,[],JP
Kuaishou Technology,"[""Kuaishou Technology""]",TRUE,[],CN
Nanjing University of Information Science and Technology,"[""Nanjing University of Information Science and Technology""]",TRUE,[],CN
National Technical University of Athens,"[""National Technical University of Athens""]",TRUE,[],GR
Stevens Institute of Technology,"[""Stevens Institute of Technology""]",TRUE,[],US
Universidad Carlos III de Madrid,"[""Universidad Carlos III de Madrid""]",TRUE,[],ES
